Entreprise,Entreprise_Normalisee,Score_Max,Tier,Commune,Nb_Agents,Agents,Tel_Societe,Email_Societe,Tel_Societe_All,Email_Societe_All,Tel_Agents_IPI,Email_Agents_IPI,Tel_Agents_Existants,Email_Agents_Existants,Site_Web,Google_Business,Google_Note,Google_Nb_Avis,Services,Gestion_Locative,Syndic,Vente,Location,Commercial,Logiciel_Actuel,Immoweb_Annonces_Total,Immoweb_Location,Immoweb_Vente,Portfolio_Estime,BCE_Numero,BCE_Forme_Juridique,BCE_Date_Creation,Pain_Points,Angle_SPIN
REALTOR,REALTOR,37,C,Woluwe-Saint-Pierre,1,Louis-Dominique Fonteyne,,,,,+32485004002,louis@myrealtor.be,,louis@myrealtor.be,https://www.myrealtor.be/,https://www.google.com/maps/search/REALTOR%20Woluwe-Saint-Pierre,,,,Non,Non,Non,Non,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
KDB Partners srl,KDB PARTNERS,37,C,Uccle,1,Daphné Charvillat,,,,,,,,daphne.dussauge@gmail.com,,https://www.google.com/maps/search/KDB%20Partners%20srl%20Uccle,,,,Non,Non,Non,Non,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
Macnash Lembeek,MACNASH LEMBEEK,37,C,Lembeek,1,Robbe Heremans,,,,,+3228811788,lembeek@macnash.com,,Lembeek@macnash.com,https://www.macnash.com,https://www.google.com/maps/search/Macnash%20Lembeek%20Lembeek,,,,Non,Non,Non,Non,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
TH EXPERT,TH EXPERT,37,C,Anderlecht,1,Stéphane Pirard,,,,,,,,info@th-expert.be,,https://www.google.com/maps/search/TH%20EXPERT%20Anderlecht,,,,Non,Non,Non,Non,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
IMMOBILIA BELGIUM,IMMOBILIA BELGIUM,37,C,Woluwe-Saint-Lambert,1,Caroline Viérin,,,,,,,,contact@carolinevierin.be,,https://www.google.com/maps/search/IMMOBILIA%20BELGIUM%20Woluwe-Saint-Lambert,,,,Non,Non,Non,Non,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
Isabelle De Neuville Immobilier,ISABELLE DE NEUVILLE IMMOBILIER,37,C,Ixelles,1,Arnaud PINON,,,,,+3226406820,ideneuville@skynet.be,,ideneuville@skynet.be,,https://www.google.com/maps/search/Isabelle%20De%20Neuville%20Immobilier%20Ixelles,,,,Non,Non,Non,Non,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
competimmo/pascal scheirlinckx,COMPETIMMOPASCAL SCHEIRLINCKX,37,C,Woluwe-Saint-Lambert,1,Pascal Scheirlinckx,,,,,+32495510909,pascal@scheirlinckx.com,,pascal@scheirlinckx.com,,https://www.google.com/maps/search/competimmo%2Fpascal%20scheirlinckx%20Woluwe-Saint-Lambert,,,,Non,Non,Non,Non,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
Mica Invest,MICA INVEST,37,C,Uccle,1,Lionel Zalc,,,,,+32475632323,lionel@zalc.be,,lionel@zalc.be,,https://www.google.com/maps/search/Mica%20Invest%20Uccle,,,,Non,Non,Non,Non,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
Vanis Investment,VANIS INVESTMENT,37,C,Ixelles,1,Maxime Pastur,,,,,,maxime@vanisinvestment.com,,maxime@vanisinvestment.com,,https://www.google.com/maps/search/Vanis%20Investment%20Ixelles,,,,Non,Non,Non,Non,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
aarab farid,AARAB FARID,37,C,Evere,1,Farid Aarab,,,,,+3220000000,aarabfarid@gmail.com,,aarabfarid@gmail.com,,https://www.google.com/maps/search/aarab%20farid%20Evere,,,,Non,Non,Non,Non,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
SRL C.C.I.C - CONTIGO Real Estate,CCIC CONTIGO REAL ESTATE,37,C,Ixelles,1,Perrine Buset,,,,,+3226750207,ccic@contigo.immo,,ccic@contigo.immo,,https://www.google.com/maps/search/SRL%20C.C.I.C%20-%20CONTIGO%20Real%20Estate%20Ixelles,,,,Non,Non,Non,Non,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
Contigo Immo,CONTIGO IMMO,37,C,Ixelles,1,Violette Bertrand,,,,,+32498019407,bertrand@contigo.immo,+32498019407,bertrand@contigo.immo,,https://www.google.com/maps/search/Contigo%20Immo%20Ixelles,,,,Non,Non,Non,Non,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
RONNIMMO,RONNIMMO,37,C,Ixelles,1,Aaron Levy,,,,,,ronnimmo@gmail.com,,ronnimmo@gmail.com,,https://www.google.com/maps/search/RONNIMMO%20Ixelles,,,,Non,Non,Non,Non,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
Driss Senhadji,DRISS SENHADJI,37,C,Schaerbeek,1,Driss Senhadji Semlali,,,,,+3222423554,driss.senhadji@gmail.com,,driss.senhadji@gmail.com,,https://www.google.com/maps/search/Driss%20Senhadji%20Schaerbeek,,,,Non,Non,Non,Non,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
ARYA REAL ESTATE SRL,ARYA REAL ESTATE,37,C,Uccle,1,Aurore Lecomte,,,,,,aryarealestate2017@gmail.com,,aryarealestate2017@gmail.com,,https://www.google.com/maps/search/ARYA%20REAL%20ESTATE%20SRL%20Uccle,,,,Non,Non,Non,Non,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
VDS CENTURY,VDS CENTURY,37,C,Alsemberg,1,Vincent Vanderstukken,,,,,+32474101850,vincent@vdsimmo.be,,vincent@vdsimmo.be,,https://www.google.com/maps/search/VDS%20CENTURY%20Alsemberg,,,,Non,Non,Non,Non,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
DM-Realty,DMREALTY,37,C,Woluwe-Saint-Pierre,1,David Tropea Micalizzi,,,,,+32472777347,davidm@dm-realty.be,+32472777347,davidm@dm-realty.be,https://www.dm-realty.be,https://www.google.com/maps/search/DM-Realty%20Woluwe-Saint-Pierre,,,,Non,Non,Non,Non,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
LC immobiliere,LC IMMOBILIERE,37,C,Berchem-Sainte-Agathe,1,Mohamed Laachiri,,,,,+32479189009,gestion.immo.lci@gmail.com,,gestion.immo.lci@gmail.com,,https://www.google.com/maps/search/LC%20immobiliere%20Berchem-Sainte-Agathe,,,,Non,Non,Non,Non,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
ATHEMIS CONSULTING,ATHEMIS CONSULTING,37,C,Woluwe-Saint-Pierre,1,Claude Boruchowitch,,,,,+32479843574,infoathemis@gmail.com,,infoathemis@gmail.com,,https://www.google.com/maps/search/ATHEMIS%20CONSULTING%20Woluwe-Saint-Pierre,,,,Non,Non,Non,Non,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
Searchlight,SEARCHLIGHT,37,C,Uccle,1,Marie Palmblad,,,,,+32477480559,mariep@searchlight.be,,mariep@searchlight.be,,https://www.google.com/maps/search/Searchlight%20Uccle,,,,Non,Non,Non,Non,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
Valorisation Immobilière et Expertises,VALORISATION IMMOBILIRE ET EXPERTISES,37,C,Berchem-Sainte-Agathe,1,Patrick-Jean Matthys,,,,,+3224685800,pmatthys@vie-immo.be,,pmatthys@vie-immo.be,,https://www.google.com/maps/search/Valorisation%20Immobili%C3%A8re%20et%20Expertises%20Berchem-Sainte-Agathe,,,,Non,Non,Non,Non,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
BE0660890197,BE0660890197,37,C,Woluwe-Saint-Lambert,1,Nil de Haulleville,,,,,+32496282871,nildotcom@gmail.com,+32496282871,nildotcom@gmail.com,,https://www.google.com/maps/search/BE0660890197%20Woluwe-Saint-Lambert,,,,Non,Non,Non,Non,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
MANAGEMENET GESTION et SERVICES,MANAGEMENET GESTION ET SERVICES,37,C,Uccle,1,Gérald Hibert,,,,,,,,g.hibert@ghgroup.be,,https://www.google.com/maps/search/MANAGEMENET%20GESTION%20et%20SERVICES%20Uccle,,,,Non,Non,Non,Non,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
IMMO SERVADIS,IMMO SERVADIS,37,C,Uccle,1,Jean-Pierre Arnould,,,,,+32477773982,immo.servadis@gmail.com,,immo.servadis@gmail.com,,https://www.google.com/maps/search/IMMO%20SERVADIS%20Uccle,,,,Non,Non,Non,Non,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
PARYS,PARYS,37,C,Woluwe-Saint-Lambert,1,François Selvait,,,,,,,,parys.compta@gmail.com,,https://www.google.com/maps/search/PARYS%20Woluwe-Saint-Lambert,,,,Non,Non,Non,Non,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
KÊR Real Estate,KR REAL ESTATE,37,C,Uccle,1,Jean-Yves Desgain,,,,,+32473261271,jydesgain@gmail.com,,jydesgain@gmail.com,,https://www.google.com/maps/search/K%C3%8AR%20Real%20Estate%20Uccle,,,,Non,Non,Non,Non,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
Agence Athena,AGENCE ATHENA,37,C,Berchem-Sainte-Agathe,1,Luc Brackenier,,,,,+3224691666,info@athena.be,,info@athena.be,,https://www.google.com/maps/search/Agence%20Athena%20Berchem-Sainte-Agathe,,,,Non,Non,Non,Non,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
Grey Slate Scomm,GREY SLATE SCOMM,37,C,Watermael-Boitsfort,1,Adrien Sambou,,,,,+32493551506,grey.slate.consult@gmail.com,,grey.slate.consult@gmail.com,,https://www.google.com/maps/search/Grey%20Slate%20Scomm%20Watermael-Boitsfort,,,,Non,Non,Non,Non,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
Anne Montanari,ANNE MONTANARI,37,C,Uccle,1,Anne Montanari,,,,,+3226331818,annemontanari000@gmail.com,,annemontanari000@gmail.com,,https://www.google.com/maps/search/Anne%20Montanari%20Uccle,,,,Non,Non,Non,Non,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
Immothys,IMMOTHYS,37,C,Ixelles,1,Mélanie Thys,,,,,,,,melanie@immothys.be,,https://www.google.com/maps/search/Immothys%20Ixelles,,,,Non,Non,Non,Non,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
SOGIMMO SPRL,SOGIMMO,37,C,Evere,1,Maryline Delvallée,,,,,,,+32475580585,SOGIMMOSPRL@GMAIL.COM,,https://www.google.com/maps/search/SOGIMMO%20SPRL%20Evere,,,,Non,Non,Non,Non,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
Barone Samanta,BARONE SAMANTA,37,C,Uccle,1,Samanta Barone,,,,,+32475781717,samanta@barone.com,,samanta@barone.com,,https://www.google.com/maps/search/Barone%20Samanta%20Uccle,,,,Non,Non,Non,Non,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
MACACY,MACACY,37,C,Uccle,1,Fabienne Boreque,,,,,+32477432888,fabienneboreque@hotmail.com,+32477432888,fabienneboreque@hotmail.com,,https://www.google.com/maps/search/MACACY%20Uccle,,,,Non,Non,Non,Non,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
Geproma,GEPROMA,37,C,Ukkel,1,Laurent Zalc,,,,,+3223434244,laurent@geproma.be,,laurent@geproma.be,,https://www.google.com/maps/search/Geproma%20Ukkel,,,,Non,Non,Non,Non,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
Nest-Immo,NESTIMMO,37,C,Dilbeek,1,Vincent Scaunet,+3292420660,info@c21.be,+3292420660 | +3225131313,info@c21.be,+3224668284,yves@nest-immo.be,,yves@nest-immo.be,https://www.nest-immo.be/nl,https://www.google.com/maps/search/Nest-Immo%20Dilbeek,,,,Non,Non,Non,Non,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
C21 Nest-immo,C21 NESTIMMO,37,C,Dilbeek,1,Yves Goeminne,,,,,+3224668284,yves@c21.be,,yves@c21.be,,https://www.google.com/maps/search/C21%20Nest-immo%20Dilbeek,,,,Non,Non,Non,Non,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
INSIDE PROPERTIES,INSIDE PROPERTIES,37,C,Uccle,1,Mathieu De Beys,,,,,+32477192329,cedric@inside-properties.be,,cedric@inside-properties.be,,https://www.google.com/maps/search/INSIDE%20PROPERTIES%20Uccle,,,,Non,Non,Non,Non,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
CARACTèRE(S),CARACTRES,37,C,Ixelles,1,Nathalie Dubois,,,,,+3227704425,nath.dubois@live.be,,nath.dubois@live.be,,https://www.google.com/maps/search/CARACT%C3%A8RE(S)%20Ixelles,,,,Non,Non,Non,Non,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
TRIOR JETTE - GRAF INVEST,TRIOR JETTE GRAF INVEST,37,C,Jette,1,Alessandro Ferrara,,,,,+3224303730,jette@trior.be,,jette@trior.be,,https://www.google.com/maps/search/TRIOR%20JETTE%20-%20GRAF%20INVEST%20Jette,,,,Non,Non,Non,Non,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
SIXTINE,SIXTINE,37,C,Uccle,1,Pamela Verliefden,,,,,+3223752494,sixtine@sixtine.be,,sixtine@sixtine.be,,https://www.google.com/maps/search/SIXTINE%20Uccle,,,,Non,Non,Non,Non,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
Grégory Palmaers,GRGORY PALMAERS,37,C,Auderghem,1,Grégory Palmaers,,,,,,,,greg.palmaers@gmail.com,,https://www.google.com/maps/search/Gr%C3%A9gory%20Palmaers%20Auderghem,,,,Non,Non,Non,Non,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
ADAM & Co,ADAM ET CO,37,C,Woluwe-Saint-Lambert,1,Olivier Adam,,,,,+3223443802,adam@thermo-ir.be,,adam@thermo-ir.be,,https://www.google.com/maps/search/ADAM%20%26%20Co%20Woluwe-Saint-Lambert,,,,Non,Non,Non,Non,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
CAP SUD Uccle - Ixelles,CAP SUD UCCLE IXELLES,37,C,Uccle,1,Matteo Dugo,,,,,+3223723511,uccle@cap-sud.com,+3223723511,uccle@cap-sud.com,,https://www.google.com/maps/search/CAP%20SUD%20Uccle%20-%20Ixelles%20Uccle,,,,Non,Non,Non,Non,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
PROGEDIM,PROGEDIM,37,C,Woluwe-Saint-Lambert,1,Laurent Delgouffre,,,,,+3227727478,l.delgouffre@sogerim.be,,l.delgouffre@sogerim.be,,https://www.google.com/maps/search/PROGEDIM%20Woluwe-Saint-Lambert,,,,Non,Non,Non,Non,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
DK Consulting,DK CONSULTING,37,C,Jette,1,Alain Dekandelaer,,,,,+3224782824,alain.dekandelaer@gmail.com,,alain.dekandelaer@gmail.com,,https://www.google.com/maps/search/DK%20Consulting%20Jette,,,,Non,Non,Non,Non,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
AVIMORE SPRL,AVIMORE,37,C,Woluwe-Saint-Lambert,1,Olivier Xhonneux,,,,,+32495997652,o.xhonneux@avimore.eu,,o.xhonneux@avimore.eu,,https://www.google.com/maps/search/AVIMORE%20SPRL%20Woluwe-Saint-Lambert,,,,Non,Non,Non,Non,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
JOAN Real Solutions,JOAN REAL SOLUTIONS,37,C,Uccle,1,Joan Cogels,,,,,+32470270218,joan.cogels@gmail.com,+32470270218,joan.cogels@gmail.com,,https://www.google.com/maps/search/JOAN%20Real%20Solutions%20Uccle,,,,Non,Non,Non,Non,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
Aysel Sarikaya,AYSEL SARIKAYA,37,C,Evere,1,Aysel Sarikaya,,,,,,aysel.sarikaya@gmail.com,,aysel.sarikaya@gmail.com,,https://www.google.com/maps/search/Aysel%20Sarikaya%20Evere,,,,Non,Non,Non,Non,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
IC IMMO,IC IMMO,37,C,Laeken,1,Ismaïl Chourouhou,,,,,,,+32484367544,i.c.immo.bxl@gmail.com,,https://www.google.com/maps/search/IC%20IMMO%20Laeken,,,,Non,Non,Non,Non,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
Association de Fait Fullhouse,ASSOCIATION DE FAIT FULLHOUSE,37,C,Uccle,1,Olivier Brion,,,,,+3226694362,olivierbrion@hotmail.com,,olivierbrion@hotmail.com,,https://www.google.com/maps/search/Association%20de%20Fait%20Fullhouse%20Uccle,,,,Non,Non,Non,Non,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
GESTION 3+,GESTION 3,37,C,Ixelles,1,Françoise Denis,,,,,,,,denis.francoise@skynet.be,,https://www.google.com/maps/search/GESTION%203%2B%20Ixelles,,,,Non,Non,Non,Non,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
Valdel Immo srl,VALDEL IMMO,37,C,Woluwe-Saint-Pierre,1,Delphine Willème,,,,,,,+32472651329,delphinewilleme@hotmail.com,,https://www.google.com/maps/search/Valdel%20Immo%20srl%20Woluwe-Saint-Pierre,,,,Non,Non,Non,Non,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
IMMO VAN BRUSSEL.EU,IMMO VAN BRUSSELEU,37,C,Auderghem,1,Geneviève Bouvier,,,,,,,,info@immovanbrussel.eu,,https://www.google.com/maps/search/IMMO%20VAN%20BRUSSEL.EU%20Auderghem,,,,Non,Non,Non,Non,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
Consult Estate,CONSULT ESTATE,37,C,Auderghem,1,Véronique Voss,,,,,,,,verovoss@consultestate.be,,https://www.google.com/maps/search/Consult%20Estate%20Auderghem,,,,Non,Non,Non,Non,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
IMMO DD sous la société: bioclean services,IMMO DD SOUS LA SOCIT BIOCLEAN SERVICES,37,C,Woluwe-Saint-Lambert,1,David Desmaret,,,,,+32491524867,info@immodo.be,,info@immodo.be,,https://www.google.com/maps/search/IMMO%20DD%20sous%20la%20soci%C3%A9t%C3%A9%3A%20bioclean%20services%20Woluwe-Saint-Lambert,,,,Non,Non,Non,Non,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
BCM,BCM,37,C,Uccle,1,Valérie Dereymaeker,,,,,,,,valerie@vdbcm.net,,https://www.google.com/maps/search/BCM%20Uccle,,,,Non,Non,Non,Non,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
Agence Immobilière de Bruxelles,AGENCE IMMOBILIRE DE BRUXELLES,37,C,Ixelles,1,Aurélie Moreau de Melen,,,,,,,,amoreau@aidb.be,,https://www.google.com/maps/search/Agence%20Immobili%C3%A8re%20de%20Bruxelles%20Ixelles,,,,Non,Non,Non,Non,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
AGENCE IMMOBILIERE DE BRUXELLES - AIDB,AGENCE IMMOBILIERE DE BRUXELLES AIDB,37,C,Ixelles,1,Tania Balescu,,,,,+3223586161,tbalescu@aidb.be,,tbalescu@aidb.be,,https://www.google.com/maps/search/AGENCE%20IMMOBILIERE%20DE%20BRUXELLES%20-%20AIDB%20Ixelles,,,,Non,Non,Non,Non,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
Immobilière Parcavenue,IMMOBILIRE PARCAVENUE,37,C,Mons,1,Olivier Ullens de Schooten,,,,,+32497339439,olivier@parcavenue.be,,olivier@parcavenue.be,,https://www.google.com/maps/search/Immobili%C3%A8re%20Parcavenue%20Mons,,,,Non,Non,Non,Non,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
Latour et Petit S.A.,LATOUR ET PETIT SA,37,C,Sint-Lambrechts-Woluwe,1,Arnaud Croughs,,,,,+32478664331,arnaudc@latouretpetit.be,,arnaudc@latouretpetit.be,,https://www.google.com/maps/search/Latour%20et%20Petit%20S.A.%20Sint-Lambrechts-Woluwe,,,,Non,Non,Non,Non,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
Latour et Petit Dumon,LATOUR ET PETIT DUMON,37,C,Woluwe-Saint-Lambert,1,Camille Bastenière,+3272236932,info@latouretpetit.be,+3272236932 | +32474710599,info@latouretpetit.be,,,,,https://latouretpetit.be/,https://www.google.com/maps/search/Latour%20et%20Petit%20Dumon%20Woluwe-Saint-Lambert,,,"Gestion locative, Vente, Location, Commercial",Oui,Non,Oui,Oui,Oui,whise,,,,,,,,,whise couvre-t-il bien votre workflow d'interventions et de suivi locataire ?
ALTARIPA,ALTARIPA,37,C,Watermaal-Bosvoorde,1,Louis d'Otreppe de Bouvette,,,,,,,,louis@dotreppe.pro,,https://www.google.com/maps/search/ALTARIPA%20Watermaal-Bosvoorde,,,,Non,Non,Non,Non,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
Thomas le Garroy,THOMAS LE GARROY,37,C,Watermael-Boitsfort,1,Thomas le Garroy,,,,,+3226722297,thomaslegarroy@hotmail.com,+3226722297,thomaslegarroy@hotmail.com,,https://www.google.com/maps/search/Thomas%20le%20Garroy%20Watermael-Boitsfort,,,,Non,Non,Non,Non,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
Seriouz,SERIOUZ,37,C,Beersel,1,Géraldine Reinarz,,,,,,,+32478582689,infoseriouz@gmail.com,,https://www.google.com/maps/search/Seriouz%20Beersel,,,,Non,Non,Non,Non,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
Just Immo,JUST IMMO,37,C,Laeken,1,Christophe Mean,,,,,+3222680333,info@justimmo.be,,info@justimmo.be,,https://www.google.com/maps/search/Just%20Immo%20Laeken,,,,Non,Non,Non,Non,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
Immo Store,IMMO STORE,37,C,Dilbeek,1,Sam Van Hecke,,,,,+3222030303,sam@immo-store.be,,sam@immo-store.be,,https://www.google.com/maps/search/Immo%20Store%20Dilbeek,,,,Non,Non,Non,Non,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
Expert immobilier Cibex,EXPERT IMMOBILIER CIBEX,37,C,Woluwe-Saint-Pierre,1,Egon de Furstenberg,,,,,+3227626233,edf@furstim.be,,edf@furstim.be,,https://www.google.com/maps/search/Expert%20immobilier%20Cibex%20Woluwe-Saint-Pierre,,,,Non,Non,Non,Non,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
Caluwaerts Gaétane,CALUWAERTS GATANE,37,C,Watermael-Boitsfort,1,Gaëtane Caluwaerts,,,,,,,,gaetane.caluwaerts@skynet.be,,https://www.google.com/maps/search/Caluwaerts%20Ga%C3%A9tane%20Watermael-Boitsfort,,,,Non,Non,Non,Non,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
Devalco,DEVALCO,37,C,Laeken,1,Valery Debroux,,,,,+32475465607,val_debroux@yahoo.com,,val_debroux@yahoo.com,,https://www.google.com/maps/search/Devalco%20Laeken,,,,Non,Non,Non,Non,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
Zenbuilt BV,ZENBUILT,37,C,Oudergem,1,Raven De Nolf,,,,,+32470825069,raven@zenhomes.be,,raven@zenhomes.be,,https://www.google.com/maps/search/Zenbuilt%20BV%20Oudergem,,,,Non,Non,Non,Non,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
DIDIER GENACHTE,DIDIER GENACHTE,37,C,Sint-Lambrechts-Woluwe,1,Didier Genachte,,,,,+3226724610,dgenachte@gmail.com,,dgenachte@gmail.com,,https://www.google.com/maps/search/DIDIER%20GENACHTE%20Sint-Lambrechts-Woluwe,,,,Non,Non,Non,Non,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
AGAR,AGAR,37,C,Watermael-Boitsfort,1,Gisèle Leroy,,,,,,,,gisele.leroy@immobilieresilex.be,https://www.immobiliere-silex.be,https://www.google.com/maps/search/AGAR%20Watermael-Boitsfort,,,,Non,Non,Non,Non,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
BUREAU D'EXPERTISE GVA,BUREAU DEXPERTISE GVA,37,C,Neder-Over-Heembeek,1,Ilham El Housny,,,,,+3222682150,quentin@century21besthouse.be,,quentin@century21besthouse.be,,https://www.google.com/maps/search/BUREAU%20D'EXPERTISE%20GVA%20Neder-Over-Heembeek,,,,Non,Non,Non,Non,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
Up Invest,UP INVEST,37,C,Dilbeek,1,Thomas Valkeniers,,,,,+3224660575,thomas.valkeniers@upinvest.be,,thomas.valkeniers@upinvest.be,,https://www.google.com/maps/search/Up%20Invest%20Dilbeek,,,,Non,Non,Non,Non,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
FINB Immo Real Estate,FINB IMMO REAL ESTATE,37,C,Uccle,1,Arielle Dubié,,,,,,,,arielle.dubie@finbimmo.be,,https://www.google.com/maps/search/FINB%20Immo%20Real%20Estate%20Uccle,,,,Non,Non,Non,Non,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
IMMO&CO,IMMOETCO,37,C,Auderghem,1,Laurence Dawir,,,,,,laurence@immo-and-co.be,,laurence@immo-and-co.be,,https://www.google.com/maps/search/IMMO%26CO%20Auderghem,,,,Non,Non,Non,Non,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
Dorothée ALBERT,DOROTHE ALBERT,37,C,Oudergem,1,Dorothée Albert,,,,,,,,dorotheealbert@immo-and-co.be,,https://www.google.com/maps/search/Doroth%C3%A9e%20ALBERT%20Oudergem,,,,Non,Non,Non,Non,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
ZS CONSULT,ZS CONSULT,37,C,Auderghem,1,Karim Soussi,,,,,,expert.soussi@gmail.com,,expert.soussi@gmail.com,,https://www.google.com/maps/search/ZS%20CONSULT%20Auderghem,,,,Non,Non,Non,Non,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
IMMO COUP DE COEUR,IMMO COUP DE COEUR,37,C,Uccle,1,Anne-Catherine Gossiaux,,,,,,annecatherinegossiaux@gmail.com,,annecatherinegossiaux@gmail.com,,https://www.google.com/maps/search/IMMO%20COUP%20DE%20COEUR%20Uccle,,,,Non,Non,Non,Non,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
Lampiris Real Estate,LAMPIRIS REAL ESTATE,37,C,Anderlecht,1,Nicolas Lampiris,,,,,+32469437822,nicolas@lre-immo.be,+32469437822,nicolas@lre-immo.be,,https://www.google.com/maps/search/Lampiris%20Real%20Estate%20Anderlecht,,,,Non,Non,Non,Non,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
NICOLE CURVERS,NICOLE CURVERS,37,C,Woluwe-Saint-Pierre,1,Nicole Curvers,,,,,+32470740004,proinvest.be@gmail.com,,proinvest.be@gmail.com,,https://www.google.com/maps/search/NICOLE%20CURVERS%20Woluwe-Saint-Pierre,,,,Non,Non,Non,Non,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
